ID,Name,Pos,Team,BV,p(start),p(90),p(sub on),xMins,g share,a share,yc tax,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
635796,Mipo Odubeko,F,Shelbourne,8.5,0.7,0.4,0.2,59.5,0.30,0.25,0.05,3.86,3.47,4.05,3.66,3.70,3.23,3.83,3.81,4.33,3.10,3.61,3.63
55058,Sean Boyd,F,Shelbourne,8,0.5,0.2,0.3,43.5,0.32,0.2,0.05,3.01,2.70,3.17,2.86,2.89,2.50,2.99,2.97,3.39,2.40,2.81,2.83
41916,John Martin,F,Shelbourne,7.5,0.5,0.1,0.3,41,0.30,0.2,0.05,2.85,2.55,3.00,2.71,2.73,2.36,2.83,2.81,3.21,2.26,2.66,2.67
99,Rodrigo Freitas,F,Shelbourne,7,0.4,0,0.5,36,0.33,0.2,0.05,2.84,2.52,2.99,2.69,2.71,2.32,2.82,2.79,3.22,2.21,2.63,2.65
526941,Sam Sargeant,G,Sligo Rovers,5,1,1,0,90,0.00,0.01,0.05,4.02,4.83,4.87,4.50,5.43,4.45,4.97,4.84,4.12,4.55,4.27,5.48
21,Liam Hughes,G,Sligo Rovers,4,0,0,0,0,0.00,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
568767,Jeannot Esua,D,Sligo Rovers,5.5,1,0.9,0,87.5,0.03,0.08,0.11,4.04,4.93,4.98,4.57,5.54,4.49,5.08,4.93,4.15,4.62,4.31,5.67
148086,Gareth McElroy,D,Sligo Rovers,5,0.5,0.3,0.2,44,0.08,0.05,0.11,2.28,2.84,2.87,2.62,3.19,2.55,2.92,2.83,2.35,2.65,2.45,3.30
657766,Sean Stewart,D,Sligo Rovers,5,0.5,0.3,0.2,44,0.04,0.05,0.11,2.16,2.67,2.70,2.47,3.01,2.41,2.75,2.67,2.22,2.49,2.31,3.09
67790,Shane Blaney,D,Sligo Rovers,5,0.5,0.4,0.2,46.5,0.04,0.05,0.11,2.29,2.83,2.86,2.61,3.19,2.56,2.91,2.82,2.36,2.64,2.45,3.26
71963,Conor Reynolds,D,Sligo Rovers,4.5,0.5,0.3,0.2,44,0.02,0.05,0.11,2.12,2.62,2.65,2.42,2.95,2.37,2.70,2.62,2.18,2.45,2.27,3.02
573762,Ollie Denham,D,Sligo Rovers,4.5,0.5,0.3,0.2,44,0.02,0.05,0.11,2.12,2.62,2.65,2.42,2.95,2.37,2.70,2.62,2.18,2.45,2.27,3.02
655547,Seb Quirk,D,Sligo Rovers,4.5,0.5,0.3,0.2,44,0.13,0.05,0.11,2.42,3.03,3.06,2.79,3.40,2.70,3.11,3.02,2.49,2.82,2.60,3.54
280891,David Jonathan,D,Sligo Rovers,4,0,0,0,0,0.01,0.05,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56893,Will Fitzgerald,M,Sligo Rovers,7.5,1,0.9,0,87.5,0.09,0.24,0.11,4.01,4.70,4.73,4.44,5.01,4.27,4.76,4.67,4.08,4.46,4.21,5.29
46104,Jad Hakiki,M,Sligo Rovers,7,1,0.9,0,87.5,0.13,0.20,0.11,4.10,4.82,4.86,4.55,5.14,4.37,4.89,4.78,4.17,4.57,4.31,5.45
40156,Ryan OKane,M,Sligo Rovers,7,0.9,0.8,0,78.5,0.13,0.14,0.11,3.59,4.20,4.24,3.97,4.48,3.82,4.26,4.17,3.65,3.99,3.77,4.73
69457,Alex Nolan,M,Sligo Rovers,6.5,0.7,0.6,0.3,66.5,0.01,0.14,0.11,2.87,3.32,3.35,3.15,3.56,3.06,3.38,3.31,2.92,3.17,3.00,3.69
591716,Archie Meekison,M,Sligo Rovers,6,0.6,0.4,0.5,59,0.11,0.15,0.11,3.01,3.62,3.65,3.39,3.91,3.26,3.68,3.59,3.08,3.41,3.19,4.12
88,Carl McHugh,M,Sligo Rovers,5.5,0,0,0.1,2,0.04,0.08,0.11,0.15,0.20,0.20,0.18,0.22,0.17,0.20,0.19,0.16,0.18,0.17,0.23
239624,Ciaron Harkin,M,Sligo Rovers,5.5,0.3,0,0.1,21.5,0.09,0.08,0.11,0.99,1.19,1.20,1.11,1.29,1.07,1.21,1.18,1.01,1.12,1.05,1.36
363614,Daire Patton,M,Sligo Rovers,5,0.4,0,0.1,28,0.07,0.08,0.11,1.23,1.47,1.48,1.38,1.59,1.33,1.50,1.46,1.26,1.39,1.30,1.67
163157,Kyle McDonagh,M,Sligo Rovers,5,0,0,0,0,0.10,0.08,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74776,Owen Elding,F,Sligo Rovers,9,0,0,0,0,0.01,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51069,Cian Kavanagh,F,Sligo Rovers,8,0.6,0.4,0,49,0.18,0.15,0.05,2.36,2.78,2.81,2.63,2.97,2.52,2.83,2.76,2.41,2.64,2.48,3.15
98,Mai Traore,F,Sligo Rovers,7,0.9,0.8,0,78.5,0.20,0.10,0.05,3.77,4.42,4.46,4.18,4.71,4.02,4.48,4.39,3.84,4.20,3.96,4.99
427874,Joseph Anang,G,St. Patricks,5.5,1,1,0,90,0.00,0.01,0.05,4.99,5.85,4.60,6.31,4.99,6.16,5.29,5.63,6.07,5.73,5.18,5.58
449606,Danny Rogers,G,St. Patricks,4.5,0,0,0,0,0.00,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60659,Joe Redmond,D,St. Patricks,6,1,0.9,0,87.5,0.05,0.05,0.11,5.15,6.17,4.68,6.69,5.15,6.45,5.51,5.90,6.46,5.99,5.34,5.76
85723,Ronan Boyce,D,St. Patricks,5.5,0.8,0.8,0.1,74,0.06,0.05,0.11,4.49,5.39,4.08,5.85,4.49,5.64,4.81,5.15,5.65,5.23,4.66,5.03
219678,Anthony Breslin,D,St. Patricks,5,0.4,0.3,0.2,37.5,0.05,0.03,0.11,2.38,2.86,2.16,3.11,2.38,3.00,2.55,2.74,3.00,2.78,2.47,2.67
